doc_id,ministry,question_id,question_hi,gold_answer_en,keywords_en,question_source,doc_available
AU2338,ayush,Q1,AYURGYAN योजना के अंतर्गत कुल कितने Research & Innovation प्रोजेक्ट स्वीकृत किए गए?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan",original,True
AU2338,ayush,Q2,ABIHR घटक के अंतर्गत कितने प्रोजेक्ट अनुमोदित किए गए?,"11 research projects were approved under ABIHR component; out of 11, 06 were related to safety and efficacy dossiers on 05 single Ayurveda botanicals.","11, ABIHR, 06, safety and efficacy, 05",original,True
AU2338,ayush,Q3,AYUSH रिसर्च के लिए कुल कितनी राशि Research & Innovation और ABIHR के तहत दी गई?,"Under Research & Innovation component, fund of Rs.5.99 Crore and under ABIHR fund of Rs.47.07 crore was provided for Ayush drug research.","5.99 crore, 47.07 crore, Research & Innovation, ABIHR",original,True
AU2338,ayush,Q4,Research Councils द्वारा कुल कितने शोध अध्ययन किए गए?,"A total 709 research studies (CCRAS-235, CCRH-230, CCRUM-120, CCRS-102, CCRYN-22) were undertaken by the Research Councils.","709, CCRAS-235, CCRH-230, CCRUM-120, CCRS-102, CCRYN-22",original,True
AU2338,ayush,Q5,"CCRAS, CCRUM, CCRH और CCRS द्वारा कुल कितने पेटेंट दाखिल या स्वीकृत किए गए?","Two patents filed under R&I component. CCRAS: 03 filed, 24 granted; CCRUM: 05 filed, 02 granted; CCRH: 09 filed, 02 granted; CCRS: 11 filed, 01 granted.","CCRAS, CCRUM, CCRH, CCRS, patents filed, patents granted, 02 patents",original,True
AU2402,ayush,Q1,हरियाणा में कुल कितने आयुष डॉक्टर पद स्वीकृत किए गए?,State Government of Haryana has approved 1085 posts of Ayush doctors.,"1085, Haryana, Ayush doctors",original,True
AU2402,ayush,Q2,पहले चरण में कितने आयुर्वेदिक मेडिकल अधिकारियों की नियुक्ति की गई?,"In the first phase, 572 Ayurvedic Medical Officers (AMOs) including 21 AMOs in Sonipat have been appointed and deployed in new PHCs of Haryana.","572, AMOs, first phase, Sonipat, PHCs",original,True
AU2402,ayush,Q3,सोनीपत में कितने AMO नियुक्त किए गए?,21 AMOs have been appointed and deployed in Sonipat in new Primary Health Centers (PHCs) of Haryana.,"21, Sonipat, AMOs, PHCs",original,True
AU2402,ayush,Q4,NAM के तहत राज्य सरकार को नई आयुष संस्थाएँ स्थापित करने के लिए क्या करना होता है?,State Government of Haryana is required to submit suitable proposals as per NAM guidelines for establishment of new Ayush dispensaries/Hospital/College or upgradation of existing ones.,"NAM guidelines, proposals, SAAPs, State Government",original,True
AU2402,ayush,Q5,2023-24 में हिसार के लिए कितनी राशि आवंटित की गई थी?,"In 2023-24, funds allocated to Hisar under NAM were Rs. 131.63 lakhs; expenditure was Rs. 100.74 lakhs.","131.63 lakhs, 100.74 lakhs, Hisar, 2023-24",original,True
