ministry,file_name,section,sentence_num,eng_original,hindi_sarvam,eng_back
1_Ayush,AU2338_kTs52v,Question,1,"Will the Minister of AYUSH be pleased to state: (a) the details of ongoing research and development projects related to AYUSH drugs and therapies including the distribution of Research and Development (R&D) centers in the country, State/UT-wise; (b) the outcomes of these research projects, especially in terms of developing new treatments for chronic diseases or conditions in the country; and (c) the details of fund provided for AYUSH drug research along with the number of patents filed or products developed in the country.","आयुष मंत्री महोदय, क्या यह बात से प्रसन्न होंगे? (क) देश में अनुसंधान और विकास (आर एंड डी) केंद्रों के वितरण सहित आयुष दवाओं और उपचारों से संबंधित चल रही अनुसंधान और विकास परियोजनाओं का विवरण, राज्य/केंद्र शासित प्रदेश के अनुसार; (ख) इन अनुसंधान परियोजनाओं के परिणाम, विशेष रूप से देश में दीर्घकालिक बीमारियों या स्थितियों के लिए नए उपचार विकसित करने के संदर्भ में; और (ग) देश में आयुष दवाओं के अनुसंधान के लिए प्रदान किए गए धन के विवरण के साथ-साथ देश में दायर किए गए पेटेंट या विकसित उत्पादों की संख्या।","Would the Minister of AYUSH be free to talk? (a) Description of the ongoing research and development (R&D) projects related to AYUSH medicines and treatments, including the distribution of R&D centres in the country, (b) the results of these research projects, particularly in the context of developing new treatments for chronic diseases or conditions in the country, (c) the details of funds provided for the research of AYUSH medicines in the country, (d) the number of patents or developed products filed in the country."
1_Ayush,AU2338_kTs52v,Answer,1,"The Ministry of Ayush is implementing a Central Sector Scheme, namely, Ayurgyan since 2021-22 having three components viz.","आयुष मंत्रालय 2021-22 से एक केंद्रीय क्षेत्र योजना, अर्थात् आयुग्यन, लागू कर रहा है, जिसमें तीन घटक हैं।","The Ministry of AYUSH is implementing a centrally-sponsored scheme, AYUSHYA, for 2021-22 which has three components."
1_Ayush,AU2338_kTs52v,Answer,2,Capacity Building & Continuing Medical Education (CME) in Ayush (ii) Research & Innovation in AYUSH and (iii) Ayurveda Biology Integrated Health Research (ABIHR).,आयुष में क्षमता निर्माण और निरंतर चिकित्सा शिक्षा (सी.एम.ई.) (ii) आयुष में अनुसंधान और नवाचार (iii) आयुर्वेद जीव विज्ञान एकीकृत स्वास्थ्य अनुसंधान (ए.बी.आई.एच.आर.)।,Capacity building in AYUSH and Continuing Medical Education (CME) (ii) Research and innovation in AYUSH (iii) Integrated health research in Ayurveda Biology (ABIH).
1_Ayush,AU2338_kTs52v,Answer,3,ABIHR was added under the scheme from the year 2023-24 as a 3rd component.,ए.बी.आई.एच.आर. को वर्ष 2023-24 से योजना के तहत तीसरे घटक के रूप में जोड़ा गया था।,ABIHR was added as a third pillar of the scheme from 2023-24.
1_Ayush,AU2338_kTs52v,Answer,4,"Being a Central Sector Scheme, the scheme is not specific to any State/UT.","यह केंद्रीय क्षेत्र की योजना होने के कारण, यह योजना किसी भी राज्य/केंद्र शासित प्रदेश के लिए विशिष्ट नहीं है।","As it is a Central Sector Scheme, the scheme is not specific to any State/UT."
1_Ayush,AU2338_kTs52v,Answer,5,"Under the Research & Innovation in Ayush and ABIHR component of Ayurgyan Scheme, financial assistance is being provided to the eligible organisations for conducting the research and development activities as per provision contained in the scheme guidelines.","आयुर्गयन योजना के आयुष और ए.बी.आई.एच.आर. घटक में अनुसंधान एवं नवाचार के अंतर्गत, योजना के दिशानिर्देशों में निहित प्रावधानों के अनुसार अनुसंधान एवं विकास गतिविधियों के संचालन हेतु पात्र संगठनों को वित्तीय सहायता प्रदान की जा रही है।","Under the AYUSH and ABIHR components of the AYUGEN scheme, financial assistance is being provided to eligible organizations for conducting research and development activities as per the provisions contained in the guidelines of the scheme."
1_Ayush,AU2338_kTs52v,Answer,6,"Since inception, total 34 and 11 research projects were approved/supported under Research & Innovation in Ayush and ABIHR component of Ayurgyan Scheme respectively for conducting research activities.","आरंभ से ही, आयुष योजना के अनुसंधान और नवाचार घटक के तहत अनुसंधान गतिविधियों को संचालित करने के लिए कुल 34 और 11 अनुसंधान परियोजनाओं को क्रमशः अनुसंधान और नवाचार में अनुमोदित/समर्थित किया गया था।","Since its inception, a total of 34 and 11 research projects were approved/supported for undertaking research activities under the Research and Innovation component of AYUSH Mission."
1_Ayush,AU2338_kTs52v,Answer,7,"Out of 11 approved projects supported under ABIHR component,06 were related to development of safety and efficacy dossiers on 05 single Ayurveda botanicals.",ए.बी.आई.एच.आर. घटक के तहत समर्थित 11 अनुमोदित परियोजनाओं में से 06 परियोजनाएँ 05 एकल आयुर्वेद वनस्पति पर सुरक्षा और प्रभावकारिता डोजियर के विकास से संबंधित थीं।,"Out of 11 approved projects supported under the ABIHR component, 06 projects, 05 were related to development of safety and efficacy dossiers for a single Ayurvedic herbal product."
1_Ayush,AU2338_kTs52v,Answer,8,"In addition, Research Councils under Ministry of Ayush namely Central Council for Research in Ayurvedic Science (CCRAS), Central Council for Research in Homoeopathy (CCRH) and Central Council for Unani Medicine (CCRUM), Central Council for Research in Siddha (CCRS) and Central Council for Research in Yoga & Naturopathy (CCRYN) also undertake research activities such as Clinical Research, Drug Proving, Drug Verification, Drug validation, Drug Standardization, Public Health Research, Fundamental Research and Epidemic research in through their Research Institutes/Treatment Centre/Peripheral Units.","इसके अलावा, आयुष मंत्रालय के तहत अनुसंधान परिषदों जैसे केंद्रीय आयुर्वेद विज्ञान अनुसंधान परिषद (सी.सी.आर.ए.एस.), केंद्रीय होम्योपैथी अनुसंधान परिषद (सी.सी.आर.एच.), केंद्रीय यूनानी चिकित्सा अनुसंधान परिषद (सी.सी.आर.यू.एम.), केंद्रीय सिद्ध अनुसंधान परिषद (सी.सी.आर.एस.) और केंद्रीय योग और प्राकृतिक चिकित्सा अनुसंधान परिषद (सी.सी.आर.वाई.एन.) भी नैदानिक अनुसंधान, दवा सिद्धि, दवा सत्यापन, दवा प्रमाणीकरण, सार्वजनिक स्वास्थ्य अनुसंधान, आदि जैसी अनुसंधान गतिविधियों को संचालित करती हैं। उनके अनुसंधान संस्थानों/उपचार केंद्रों/परिधीय इकाइयों में मौलिक अनुसंधान और महामारी अनुसंधान।","Additionally, the Ministry of AYUSH, under its research councils such as the Central Council for Research in Ayurveda (CCRAS), Central Council for Research in Homeopathy (CCRH), Central Council for Research in Unani Medicine (CCRUM), Central Council for Research in Siddha (CCRS), and Central Council for Research in Yoga and Naturopathy (CCRYN), conduct research activities such as clinical research, drug discovery, drug verification, drug authentication, public health research, and more. Basic research and epidemiological research in their respective research institutions/treatment centers/central units."
1_Ayush,AU2338_kTs52v,Answer,9,State /UT wise no. of Institutes/Centres/Units of the Research Councils are attached at Annexure.,राज्य /केंद्र शासित प्रदेश के अनुसार संख्या। अनुसंधान परिषदों के संस्थानों/केंद्रों/इकाइयों के पाठ को अनुलग्नक में संलग्न किया गया है।,In numbers by State / Union Territory. The text of the institutions/centres/units of the Research Councils is appended.
