experiment,model,condition,n,empty_pct,hindi_ratio,think_open,think_closed,completion_rate
with_prompts,llama,C1,100,0.0,0.78,0,0,1.0
with_prompts,llama,C2,100,0.0,0.78,0,0,1.0
with_prompts,llama,C3,100,0.0,0.82,0,0,1.0
with_prompts,llama,C4,100,0.0,0.82,0,0,1.0
with_prompts,llama,C5,100,0.0,0.84,0,0,1.0
with_prompts,llama,C6,100,0.0,0.78,0,0,1.0
with_prompts,llama,C7,100,0.0,0.78,0,0,1.0
with_prompts,llama,C8,100,0.0,0.82,0,0,1.0
with_prompts,llama,C9,100,0.0,0.84,0,0,1.0
with_prompts,mixtral,C1,100,0.0,0.71,0,0,1.0
with_prompts,mixtral,C2,100,0.0,0.75,0,0,1.0
with_prompts,mixtral,C3,100,0.0,0.74,0,0,1.0
with_prompts,mixtral,C4,100,0.0,0.76,0,0,1.0
with_prompts,mixtral,C5,100,0.0,0.77,0,0,1.0
with_prompts,mixtral,C6,100,0.0,0.69,0,0,1.0
with_prompts,mixtral,C7,100,0.0,0.75,0,0,1.0
with_prompts,mixtral,C8,100,0.0,0.78,0,0,1.0
with_prompts,mixtral,C9,100,0.0,0.78,0,0,1.0
with_prompts,qwen,C1,100,0.0,0.79,0,0,1.0
with_prompts,qwen,C2,100,0.0,0.79,0,0,1.0
with_prompts,qwen,C3,100,0.0,0.85,0,0,1.0
with_prompts,qwen,C4,100,0.0,0.83,0,0,1.0
with_prompts,qwen,C5,100,0.0,0.86,0,0,1.0
with_prompts,qwen,C6,100,0.0,0.78,0,0,1.0
with_prompts,qwen,C7,100,0.0,0.79,0,0,1.0
with_prompts,qwen,C8,100,0.0,0.82,0,0,1.0
with_prompts,qwen,C9,100,0.0,0.86,0,0,1.0
with_prompts,sarvam,C1,100,0.0,0.08,100,41,0.41
with_prompts,sarvam,C2,100,0.0,0.09,100,32,0.32
with_prompts,sarvam,C3,100,0.0,0.08,100,33,0.33
with_prompts,sarvam,C4,100,0.0,0.07,100,40,0.4
with_prompts,sarvam,C5,100,0.0,0.06,100,39,0.39
with_prompts,sarvam,C6,100,68.0,0.26,0,0,0.32
with_prompts,sarvam,C7,100,67.0,0.27,0,0,0.33
with_prompts,sarvam,C8,100,52.0,0.4,0,0,0.48
with_prompts,sarvam,C9,100,59.0,0.35,0,0,0.41
no_prompts,llama,C1,100,0.0,0.76,0,0,1.0
no_prompts,llama,C2,100,0.0,0.76,0,0,1.0
no_prompts,llama,C3,100,0.0,0.77,0,0,1.0
no_prompts,llama,C4,100,0.0,0.76,0,0,1.0
no_prompts,llama,C5,100,0.0,0.77,0,0,1.0
no_prompts,llama,C6,100,0.0,0.77,0,0,1.0
no_prompts,llama,C7,100,0.0,0.76,0,0,1.0
no_prompts,llama,C8,100,1.0,0.76,0,0,0.99
no_prompts,llama,C9,100,0.0,0.77,0,0,1.0
no_prompts,mixtral,C1,100,0.0,0.3,0,0,1.0
no_prompts,mixtral,C2,100,3.0,0.24,0,0,0.97
no_prompts,mixtral,C3,100,0.0,0.42,0,0,1.0
no_prompts,mixtral,C4,100,1.0,0.18,0,0,0.99
no_prompts,mixtral,C5,100,1.0,0.29,0,0,0.99
no_prompts,mixtral,C6,100,0.0,0.29,0,0,1.0
no_prompts,mixtral,C7,100,3.0,0.26,0,0,0.97
no_prompts,mixtral,C8,100,0.0,0.1,0,0,1.0
no_prompts,mixtral,C9,100,1.0,0.24,0,0,0.99
no_prompts,qwen,C1,100,0.0,0.46,0,0,1.0
no_prompts,qwen,C2,100,0.0,0.74,0,0,1.0
no_prompts,qwen,C3,100,0.0,0.75,0,0,1.0
no_prompts,qwen,C4,100,0.0,0.73,0,0,1.0
no_prompts,qwen,C5,100,0.0,0.76,0,0,1.0
no_prompts,qwen,C6,100,0.0,0.5,0,0,1.0
no_prompts,qwen,C7,100,0.0,0.74,0,0,1.0
no_prompts,qwen,C8,100,0.0,0.73,0,0,1.0
no_prompts,qwen,C9,100,0.0,0.76,0,0,1.0
no_prompts,sarvam,C1,100,54.0,0.3,0,0,0.46
no_prompts,sarvam,C2,100,49.0,0.36,0,0,0.51
no_prompts,sarvam,C3,100,92.0,0.06,0,0,0.08
no_prompts,sarvam,C4,100,66.0,0.23,0,0,0.34
no_prompts,sarvam,C5,100,80.0,0.16,0,0,0.2
no_prompts,sarvam,C6,100,64.0,0.24,0,0,0.36
no_prompts,sarvam,C7,100,59.0,0.28,0,0,0.41
no_prompts,sarvam,C8,100,69.0,0.22,0,0,0.31
no_prompts,sarvam,C9,100,86.0,0.1,0,0,0.14
