model,condition,keyword_hit_rate,rougeL_f1,bertscore_f1,hallucination_score
gemini,C1,0.0,0.0,0.0,
gemini,C2,0.0,0.0,0.0,
gemini,C3,0.0,0.0,0.0,
gemini,C4,0.0,0.0,0.0,
llama,C1,0.040404,0.027450000000000002,0.0,
llama,C2,0.039285,0.026225000000000002,0.0,
llama,C3,0.035047,0.027286,0.0,
llama,C4,0.0677909090909091,0.048845454545454546,0.0,
mistral,C1,0.0,0.0,0.0,
mistral,C2,0.0,0.0,0.0,
mistral,C3,0.0,0.0,0.0,
mistral,C4,0.0,0.0,0.0,
sarvam,C1,0.36732,0.236512,0.0,
sarvam,C2,0.35676,0.239523,0.0,
sarvam,C3,0.24355899999999997,0.143546,0.0,
sarvam,C4,0.28233636363636366,0.2054618181818182,0.0,
