doc_id,ministry,question_id,question_hi,question_source,gold_answer_en,keywords_en,doc_available
AU2338,ayush,Q1,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,official_hindi_doc,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan",True
AU2338,ayush,Q2,"आयुष अनुसंधान परियोजनाओं के क्या निष्कर्ष हैं, विशेषकर असाध्य बीमारियों के लिए नए उपचार विकसित करने के संदर्भ में?",official_hindi_doc,"11 research projects were approved under ABIHR component; out of 11, 06 were related to safety and efficacy dossiers on 05 single Ayurveda botanicals.","11, ABIHR, 06, safety and efficacy, 05",True
AU2338,ayush,Q3,आयुष औषधि अनुसंधान के लिए उपलब्ध कराए गए कोष का ब्यौरा क्या है?,official_hindi_doc,"Under Research & Innovation component, fund of Rs.5.99 Crore and under ABIHR fund of Rs.47.07 crore was provided for Ayush drug research.","5.99 crore, 47.07 crore, Research & Innovation, ABIHR",True
AU2338,ayush,Q4,आयुर्ज्ञान योजना के अंतर्गत आयुष में अनुसंधान एवं नवाचार तथा एबीआईएचआर घटकों के तहत कितनी अनुसंधान परियोजनाएं अनुमोदित की गई हैं?,official_hindi_doc,"A total 709 research studies (CCRAS-235, CCRH-230, CCRUM-120, CCRS-102, CCRYN-22) were undertaken by the Research Councils.","709, CCRAS-235, CCRH-230, CCRUM-120, CCRS-102, CCRYN-22",True
AU2338,ayush,Q5,आयुष मंत्रालय के अंतर्गत अनुसंधान परिषदों द्वारा कितने अनुसंधान अध्ययन किए गए हैं?,official_hindi_doc,"Two patents filed under R&I component. CCRAS: 03 filed, 24 granted; CCRUM: 05 filed, 02 granted; CCRH: 09 filed, 02 granted; CCRS: 11 filed, 01 granted.","CCRAS, CCRUM, CCRH, CCRS, patents filed, patents granted, 02 patents",True
AU2402,ayush,Q1,राष्ट्रीय आयुष मिशन के अंतर्गत हरियाणा को विशेषकर हिसार और सोनीपत संसदीय निर्वाचन क्षेत्रों में आयुष अवसंरचना के विकास के लिए विगत तीन वर्षों में कितनी निधियां आवंटित की गई हैं?,official_hindi_doc,State Government of Haryana has approved 1085 posts of Ayush doctors.,"1085, Haryana, Ayush doctors",True
AU2402,ayush,Q2,"उक्त अवधि के दौरान स्वीकृत, जारी की गई और वास्तव में उपयोग की गई निधियों का वर्ष-वार और घटक-वार ब्यौरा क्या है?",official_hindi_doc,"In the first phase, 572 Ayurvedic Medical Officers (AMOs) including 21 AMOs in Sonipat have been appointed and deployed in new PHCs of Haryana.","572, AMOs, first phase, Sonipat, PHCs",True
AU2402,ayush,Q3,हिसार और सोनीपत क्षेत्रों में नए आयुष औषधालयों/अस्पतालों/महाविद्यालयों की स्थापना अथवा मौजूदा संस्थानों के उन्नयन के लिए कोई प्रस्ताव अनुमोदित है या विचाराधीन है?,official_hindi_doc,21 AMOs have been appointed and deployed in Sonipat in new Primary Health Centers (PHCs) of Haryana.,"21, Sonipat, AMOs, PHCs",True
AU2402,ayush,Q4,एनएएम के अंतर्गत हरियाणा राज्य सरकार ने आयुष चिकित्सकों के कितने पदों को मंजूरी दी है और पहले चरण में कितने आयुर्वेदिक चिकित्सा अधिकारी नियुक्त किए गए हैं?,official_hindi_doc,State Government of Haryana is required to submit suitable proposals as per NAM guidelines for establishment of new Ayush dispensaries/Hospital/College or upgradation of existing ones.,"NAM guidelines, proposals, SAAPs, State Government",True
AU2402,ayush,Q5,आगामी वर्षों में हिसार और सोनीपत निर्वाचन क्षेत्रों में आयुष सेवाओं के विस्तार के लिए सरकार द्वारा प्रस्तावित कार्य योजना का ब्यौरा क्या है?,official_hindi_doc,"In 2023-24, funds allocated to Hisar under NAM were Rs. 131.63 lakhs; expenditure was Rs. 100.74 lakhs.","131.63 lakhs, 100.74 lakhs, Hisar, 2023-24",True
