model,condition,metric,with_prompts,no_prompts,delta_np_minus_wp
llama,C1,KW-Hit,0.309,0.411,0.102
llama,C1,ROUGE-L,0.27,0.277,0.006
llama,C1,BERTScore,0.899,0.891,-0.008
llama,C2,KW-Hit,0.293,0.367,0.074
llama,C2,ROUGE-L,0.282,0.342,0.06
llama,C2,BERTScore,0.899,0.9,0.001
llama,C3,KW-Hit,0.173,0.263,0.09
llama,C3,ROUGE-L,0.207,0.229,0.022
llama,C3,BERTScore,0.888,0.882,-0.006
llama,C6,KW-Hit,0.3,0.359,0.06
llama,C6,ROUGE-L,0.287,0.296,0.009
llama,C6,BERTScore,0.9,0.896,-0.004
mixtral,C1,KW-Hit,0.329,0.375,0.046
mixtral,C1,ROUGE-L,0.244,0.241,-0.004
mixtral,C1,BERTScore,0.887,0.882,-0.005
mixtral,C2,KW-Hit,0.348,0.413,0.065
mixtral,C2,ROUGE-L,0.27,0.168,-0.102
mixtral,C2,BERTScore,0.893,0.864,-0.03
mixtral,C3,KW-Hit,0.204,0.187,-0.017
mixtral,C3,ROUGE-L,0.157,0.112,-0.045
mixtral,C3,BERTScore,0.87,0.858,-0.012
mixtral,C6,KW-Hit,0.323,0.386,0.062
mixtral,C6,ROUGE-L,0.245,0.241,-0.003
mixtral,C6,BERTScore,0.887,0.88,-0.008
qwen,C1,KW-Hit,0.255,0.45,0.195
qwen,C1,ROUGE-L,0.242,0.207,-0.035
qwen,C1,BERTScore,0.896,0.875,-0.021
qwen,C2,KW-Hit,0.258,0.462,0.204
qwen,C2,ROUGE-L,0.263,0.228,-0.035
qwen,C2,BERTScore,0.897,0.879,-0.019
qwen,C3,KW-Hit,0.052,0.251,0.199
qwen,C3,ROUGE-L,0.077,0.112,0.036
qwen,C3,BERTScore,0.874,0.859,-0.014
qwen,C6,KW-Hit,0.265,0.449,0.184
qwen,C6,ROUGE-L,0.256,0.22,-0.036
qwen,C6,BERTScore,0.896,0.878,-0.018
sarvam,C1,KW-Hit,0.056,0.228,0.172
sarvam,C1,ROUGE-L,0.079,0.139,0.06
sarvam,C1,BERTScore,0.82,0.412,-0.408
sarvam,C2,KW-Hit,0.06,0.217,0.157
sarvam,C2,ROUGE-L,0.065,0.158,0.094
sarvam,C2,BERTScore,0.809,0.455,-0.354
sarvam,C3,KW-Hit,0.0,0.014,0.014
sarvam,C3,ROUGE-L,0.01,0.015,0.005
sarvam,C3,BERTScore,0.804,0.07,-0.734
sarvam,C6,KW-Hit,0.049,0.177,0.127
sarvam,C6,ROUGE-L,0.068,0.102,0.034
sarvam,C6,BERTScore,0.811,0.322,-0.489
