doc_id,ministry,question_id,condition,model,question_hi_used,gold_answer_en,keywords_en,context_preview,answer_hi,back_en,keyword_hit_rate,rougeL_f1,bertscore_f1,doc_fidelity_chrf,hallucination_label,hallucination_rationale,hallucination_score
AU2338,ayush,Q1,C1,sarvam,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan","THE MINISTER OF STATE (IC) OF THE MINISTRY OF AYUSH (SHRI PRATAPRAO JADHAV) (a) The Ministry of Ayush is implementing a Central Sector Scheme, namely, Ayurgyan since 2021-22 having three components vi","दस्तावेज़ में उल्लेख है कि ""आयुर्ज्ञान योजना एक केंद्रीय क्षेत्र की योजना है, जो किसी भी राज्य/केंद्रशासित प्रदेश-विशेष के लिए नहीं है""। हालाँकि, अनुसंधान परिषदों (जैसे CCRAS, CCRH, आदि) के अंतर्गत संस्थानों/केंद्रों की संख्या राज्य/केंद्रशासित प्रदेश-वार **अनुसूची (Annexure)** में दी गई है, लेकिन यह अनुसूची दस्तावेज़ में शामिल नहीं की गई है। इसलिए, वर्तमान में उपलब्ध जानकारी में राज्य/केंद्रशासित प्रदेश-वार चल रही परियोजनाओं का विवरण स्पष्ट रूप से उपलब्ध नहीं है।","The document states that ""Ayujeevan Yojana is a Central Sector Scheme, not applicable to any State/UT"". However, the total number of institutions/centres under various research councils (like CCRAS, CCRH, etc., in the State/UT-wise **Schedule (Annexure)** is given in the document, but the same is not reflected in the paper. Therefore, the information available at present does not clarify the details of the projects under implementation, in State/UT wise.",0.0,0.1136,0.0,50.65,unknown,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
Please retry in 56.568376861s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 56
}
]",
AU2338,ayush,Q1,C1,gemini,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan","THE MINISTER OF STATE (IC) OF THE MINISTRY OF AYUSH (SHRI PRATAPRAO JADHAV) (a) The Ministry of Ayush is implementing a Central Sector Scheme, namely, Ayurgyan since 2021-22 having three components vi","GEMINI_QA_ERROR: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 31.98559589s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 31
}
]",,0.0,0.0,0.0,50.65,unknown,missing key or text,
AU2338,ayush,Q1,C1,mistral,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan","THE MINISTER OF STATE (IC) OF THE MINISTRY OF AYUSH (SHRI PRATAPRAO JADHAV) (a) The Ministry of Ayush is implementing a Central Sector Scheme, namely, Ayurgyan since 2021-22 having three components vi",MISTRAL_QA_ERROR: cannot import name 'Mistral' from 'mistralai' (unknown location),,0.0,0.0,0.0,50.65,unknown,missing key or text,
AU2338,ayush,Q1,C1,llama,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan","THE MINISTER OF STATE (IC) OF THE MINISTRY OF AYUSH (SHRI PRATAPRAO JADHAV) (a) The Ministry of Ayush is implementing a Central Sector Scheme, namely, Ayurgyan since 2021-22 having three components vi","दस्तावेज़ में यह जानकारी उपलब्ध नहीं है। आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा नहीं दिया गया है। हालांकि, यह बताया गया है कि राज्य/संघ राज्यक्षेत्र-वार अनुसंधान परिषदों के संस्थानों/केंद्रों/इकाइयों की संख्या परिशिष्ट में दी गई है, लेकिन यह जानकारी विस्तृत रूप से नहीं दी गई है।","This information is not available in the document. The Ministry of AYUSH has not separately placed the details of ongoing research and development projects related to AYUSH medicines and treatments in the country under the AYUSH scheme. However, it is mentioned that the number of institutions/centres/units of the following institutions/centres/units of Research Councils in the State/UTs is given in the Appendix but the same has not been elaborated.",0.0,0.1136,0.0,50.65,unknown,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 55.997911644s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 55
}
]",
AU2338,ayush,Q1,C2,sarvam,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan","आयुष मंत्रालय (श्री प्रतापराव जाधव) के राज्य मंत्री (आई.सी.) ने कहा कि आयुष मंत्रालय 2021-22 से एक केंद्रीय क्षेत्र योजना, अर्थात्, आयुग्यन, लागू कर रहा है, जिसमें तीन घटक हैं। आयुष में क्षमता निर्माण","दस्तावेज़ में उल्लेखित जानकारी के अनुसार, आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के तहत चल रही अनुसंधान एवं विकास परियोजनाओं का **राज्य/केंद्र शासित प्रदेश-वार ब्यौरा उपलब्ध नहीं है**। दस्तावेज़ में स्पष्ट रूप से बताया गया है कि यह योजना एक **केंद्रीय क्षेत्र की योजना** है, जो किसी भी विशिष्ट राज्य/केंद्र शासित प्रदेश के लिए नहीं है। हालाँकि, अनुसंधान परियोजनाओं और संस्थानों की कुल संख्या व वित्तीय विवरण प्रदान किए गए हैं, लेकिन इन्हें क्षेत्रीय आधार पर विभाजित नहीं किया गया है। 

उदाहरण के लिए:","**State/UT-wise details of research and development projects under AYUSH Ministry are not available** as per the information available in the document. The document clearly states that this plan is a **central sector plan** and not for any particular State/ Union Territory. However, the total number of research projects and institutions as well as the financial details are provided, but not regionally broken down. Take the following for example:",0.0,0.1176,0.0,50.65,unknown,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
Please retry in 55.458379974s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 55
}
]",
AU2338,ayush,Q1,C2,gemini,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan","आयुष मंत्रालय (श्री प्रतापराव जाधव) के राज्य मंत्री (आई.सी.) ने कहा कि आयुष मंत्रालय 2021-22 से एक केंद्रीय क्षेत्र योजना, अर्थात्, आयुग्यन, लागू कर रहा है, जिसमें तीन घटक हैं। आयुष में क्षमता निर्माण","GEMINI_QA_ERROR: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
Please retry in 23.779438789s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 23
}
]",,0.0,0.0,0.0,50.65,unknown,missing key or text,
AU2338,ayush,Q1,C2,mistral,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan","आयुष मंत्रालय (श्री प्रतापराव जाधव) के राज्य मंत्री (आई.सी.) ने कहा कि आयुष मंत्रालय 2021-22 से एक केंद्रीय क्षेत्र योजना, अर्थात्, आयुग्यन, लागू कर रहा है, जिसमें तीन घटक हैं। आयुष में क्षमता निर्माण",MISTRAL_QA_ERROR: cannot import name 'Mistral' from 'mistralai' (unknown location),,0.0,0.0,0.0,50.65,unknown,missing key or text,
AU2338,ayush,Q1,C2,llama,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan","आयुष मंत्रालय (श्री प्रतापराव जाधव) के राज्य मंत्री (आई.सी.) ने कहा कि आयुष मंत्रालय 2021-22 से एक केंद्रीय क्षेत्र योजना, अर्थात्, आयुग्यन, लागू कर रहा है, जिसमें तीन घटक हैं। आयुष में क्षमता निर्माण","दस्तावेज़ में यह जानकारी उपलब्ध नहीं है। आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा नहीं दिया गया है। हालांकि, यह बताया गया है कि आयुष मंत्रालय के तहत अनुसंधान परिषदों जैसे केंद्रीय आयुर्वेद विज्ञान अनुसंधान परिषद (सी.सी.आर.ए.एस.), केंद्रीय होम्योपैथी अनुसंधान परिषद (सी.सी.आर.एच.), केंद्रीय यूनानी चिकित्सा अनुसंधान परिषद (सी.सी.आर.यू.एम.), केंद्रीय सिद्ध अनुसंधान परिषद (सी.सी.आर.एस.) और केंद्रीय योग और प्राकृतिक चिकित्सा अनुसंधान परिषद (सी.सी.आर.वाई.एन.) ने नैदानिक अनुसंधान, दवा सिद्धि, दवा सत्यापन, दवा प्रमाणीकरण, सार्वजनिक स्वास्थ्य अनुसंधान आदि जैसी अनुसंधान गतिविधियों को अपने संस्थानों/उपचार केंद्रों/परिधीय इकाइयों में किया है।","This information is not available in the document. The Ministry of AYUSH has not separately placed the details of ongoing research and development projects related to AYUSH medicines and treatments in the country under the AYUSH scheme. However, it is mentioned that the research councils under the Ministry of AYUSH such as Central Council of Research in Ayurveda Sciences (CCRAS), Central Council of Homeopathy Research (CCHR), Central Council of Unani Medical Research (CCURM), Central Council of Siddha Research (CCRS) and Central Council of Yoga and Naturopathy Research (CCRYN)) Has conducted research activities in its institutions/treatment centres/peripheral units like clinical research, drug discovery, drug validation, drug authentication, public health research, etc.",0.0,0.0945,0.0,50.65,unknown,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
Please retry in 54.9216965s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 54
}
]",
AU2338,ayush,Q1,C3,sarvam,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan",,"आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के तहत चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/केंद्रशासित प्रदेश-वार विस्तृत विवरण सार्वजनिक रूप से उपलब्ध नहीं है। हालाँकि, सामान्य तौर पर, भारत में आयुर्वेदिक अनुसंधान को बढ़ावा देने के लिए मंत्रालय विभिन्न संस्थानों (जैसे","The detailed state/UT wise publicly available information of the research and development projects under AYUSH ministry is not available. In general, however, to promote Ayurvedic research in India, the ministry has various institutions (such as",0.0,0.1961,0.0,50.65,unknown,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 54.388041986s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 54
}
]",
AU2338,ayush,Q1,C3,gemini,आयुष मंत्रालय द्वारा आयुर्ज्ञान योजना के अंतर्गत देश में आयुष औषधियों और उपचार से संबंधित चल रही अनुसंधान एवं विकास परियोजनाओं का राज्य/संघ राज्यक्षेत्र-वार ब्यौरा क्या है?,Total 34 research projects were approved under Research & Innovation in Ayush component of Ayurgyan Scheme.,"34, Research & Innovation, Ayurgyan",,"GEMINI_QA_ERROR: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
Please retry in 17.009523005s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 17
}
]",,0.0,0.0,0.0,50.65,unknown,missing key or text,
