file_name,section,sentence_num,eng_original,hindi_sarvam,eng_back
AU3699,Question,1,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government proposes any action plan to promote traditional Indian sports by including them into the educational curriculum; (b) if so, the details thereof; (c) whether an expert team has been formed to formulate standard rules for traditional Indian sports identified by the Government; (d) if so, the details thereof; (e) whether any proposal is under consideration of the Government to include traditional self-defence arts, i.e., martial arts, in the sports curriculum; (f) whether any action plan has been prepared to train physical education teachers employed in educational institutions in these sports of the Indian knowledge tradition; and (g) if so, the details thereof?","क्या शिक्षा मंत्री इस बात से प्रसन्न होंगे कि: (क) क्या सरकार पारंपरिक भारतीय खेलों को शैक्षिक पाठ्यक्रम में शामिल करके उन्हें बढ़ावा देने के लिए कोई कार्य योजना प्रस्तावित करती है; (ख) यदि हाँ, तो उसका विवरण; (ग) क्या सरकार द्वारा पारंपरिक भारतीय खेलों के लिए मानक नियम तैयार करने के लिए एक विशेषज्ञ दल का गठन किया गया है; (ङ) यदि हाँ, तो उसका विवरण; (ප) क्या सरकार द्वारा पारंपरिक आत्मरक्षा कलाओं, अर्थात् युद्ध कला, को शामिल करने के लिए कोई प्रस्ताव विचाराधीन है; (ප) यदि हाँ, तो उसका विवरण; (ඥ) क्या सरकार द्वारा पारंपरिक आत्मरक्षा कलाओं को शामिल करने के लिए कोई प्रस्ताव विचाराधीन है?पाठयक्रम में युद्ध कला; (ङ) क्या भारतीय ज्ञान परंपरा के इन खेलों में कार्यरत शारीरिक शिक्षा शिक्षकों को प्रशिक्षित करने के लिए कोई कार्य योजना तैयार की गई है; और (ঢ) यदि हाँ, तो इसकी विस्तृत जानकारी?","Will the education minister be pleased with the fact that: (a) Does the Government have a plan to promote traditional Indian games by including them in the academic curriculum; (b) If yes, what are the details; (c) Has the Government constituted a panel of experts to prepare a standard set of rules for traditional Indian games; (d) If yes, what are the details; (e) Whether the Government is considering any proposal to include traditional self-defence arts, i.e., martial arts, in the academic curriculum; (f) If yes, what are the details So, the details of that; (s) is there any proposal underway by the government to include traditional self defence arts?Warfare in the curriculum; (n) a workplan to train the physical education teachers of these sports from Indian knowledge traditions; and (d) a detailed account of its implementation, if any?"
AU3699,Answer,1,to (g) The National Education Policy (NEP) 2020 emphasizes on the importance of sports in education and bringing sports in main stream education.,राष्ट्रीय शिक्षा नीति (एन.ई.पी.) 2020 शिक्षा में खेलों के महत्व और खेलों को मुख्यधारा की शिक्षा में लाने पर जोर देती है।,The National Education Policy (NEP) 2020 emphasises the importance of sports and the mainstreaming of sports in education.
AU3699,Answer,2,"Para 4.8 of NEP 2020, inter-alia, “Sports-integration is another cross-curricular pedagogical approach that utilizes physical activities including indigenous sports, in pedagogical practices to help in developing skills such as collaboration, self-initiative, self-direction, self-discipline, teamwork, responsibility, citizenship, etc.","एन.ई.पी. 2020 का पैरा 4.8, अन्य बातों के साथ, ""खेल-एकीकरण एक अन्य अंतःविषय शिक्षण दृष्टिकोण है जो स्वदेशी खेलों सहित शारीरिक गतिविधियों का उपयोग करता है, जो सहयोग, आत्म-प्रारंभिकता, आत्म-निर्देशन, आत्म-अनुशासन, टीमवर्क, जिम्मेदारी, नागरिकता आदि जैसे कौशल विकसित करने में मदद करने के लिए शैक्षिक प्रथाओं में शिक्षण विधियों में उपयोग किया जाता है।","Para 4.8 of NEP 2020, among other things, says, ""Sports-integration is another interdisciplinary pedagogical approach that uses physical activities including indigenous sports, to help learners develop skills like cooperation, self-initiative, self-direction, self-regulation, teamwork, responsibility, citizenship, etc. in academic practices""."
AU3699,Answer,3,"Under the Samagra Shiksha scheme, a dedicated component on Sports and Physical Education has been introduced to encourage regular sports activities and fitness programmes in schools.","समग्र शिक्षा योजना के तहत, विद्यालयों में नियमित खेल गतिविधियों और स्वास्थ्य कार्यक्रमों को प्रोत्साहित करने के लिए खेल और शारीरिक शिक्षा पर एक समर्पित घटक शुरू किया गया है।","Under the Samagra Shiksha Abhiyan, a dedicated component has been launched with the objective of promoting regular play and physical education in schools through increased exposure and exposure programmes."
AU3699,Answer,4,"In this regard, this Department has issued guidelines for sports grant under the Samagra Shiksha which emphasize the effective utilization of funds for organizing sports activities, maintaining playgrounds and sports infrastructure and promoting daily physical activity in schools.","इस संबंध में, इस विभाग ने समग्र शिक्षा के तहत खेल अनुदान के लिए दिशानिर्देश जारी किए हैं जो खेल गतिविधियों के आयोजन, खेल के मैदानों और खेल बुनियादी ढांचे को बनाए रखने और विद्यालयों में दैनिक शारीरिक गतिविधि को बढ़ावा देने के लिए धन के प्रभावी उपयोग पर जोर देते हैं।","In this regard, the Department has issued guidelines for Sports Grant under Samagra Shiksha which emphasise the effective utilisation of funds for organising sports activities, maintenance of playgrounds and sports infrastructure and for promoting daily physical activities in schools."
AU3699,Answer,5,These guidelines mention the indicative list of age-appropriate sports equipment for government schools.,इन दिशानिर्देशों में सरकारी विद्यालयों के लिए आयु-उपयुक्त खेल उपकरणों की सूचि का उल्लेख किया गया है।,These guidelines mention the list of age-appropriate play equipment for government schools.
AU3699,Answer,6,States and Union Territories have been advised to encourage the inclusion of traditional and regional games in school activities.,राज्यों और केंद्र शासित प्रदेशों को सलाह दी गई है कि वे विद्यालय गतिविधियों में पारंपरिक और क्षेत्रीय खेलों को शामिल करने के लिए प्रोत्साहित करें।,The states and union territories are advised to encourage traditional and regional games in school activities.
AU3699,Answer,7,"To popularize such games among children, schools have also been encouraged to organize indigenous games periodically.","बच्चों के बीच ऐसे खेलों को लोकप्रिय बनाने के लिए, विद्यालयों को समय-समय पर स्वदेशी खेलों का आयोजन करने के लिए भी प्रोत्साहित किया गया है।",Schools have also been encouraged to hold indigenous games from time to time to popularise them among the children.
AU3699,Answer,8,"As a follow-up of NEP 2020, the National Council of Educational Research and Training (NCERT) has brought out the National Curriculum Framework for School Education (NCF-SE)-2023 which provides that Physical education is now considered a core curricular area with its own specific learning standards and has specific recommendations for content selection, pedagogical approaches, and ways of assessment.","एन.ई.पी. 2020 के अनुवर्ती के रूप में, राष्ट्रीय शैक्षिक अनुसंधान और प्रशिक्षण परिषद (एन.सी.ई.आर.टी.) ने स्कूली शिक्षा के लिए राष्ट्रीय पाठ्यक्रम रूपरेखा (एन.सी.एफ.-एस.ई.) 2023 जारी की है, जिसमें कहा गया है कि शारीरिक शिक्षा को अब अपने स्वयं के विशिष्ट शिक्षण मानकों के साथ एक प्रमुख पाठ्यक्रम क्षेत्र माना जाता है और इसमें सामग्री चयन, शिक्षण दृष्टिकोण और मूल्यांकन के तरीकों के लिए विशिष्ट सिफारिशें दी गई हैं।","As a follow up to NEP 2020, National Council of Educational Research and Training (NCERT) has released the National Curriculum Framework for School Education 2023, which states that physical education is now a stand-alone subject with its own set of learning standards, and it has specific recommendations for content selection, teaching approaches, and methods of assessment."
AU3699,Answer,9,Physical Education and Well-being has been introduced as a compulsory subject in grades 3 to 10 as per the recommendations of NCF-SE 2023.,"एन.सी.एफ.-एस.ई. 2023 की सिफारिशों के अनुसार, तृतीय से दसवीं कक्षा में शारीरिक शिक्षा और कल्याण को एक अनिवार्य विषय के रूप में शामिल किया गया है।","As per the recommendations of NCF-SE 2023, Physical Education and Wellness is a compulsory subject for classes III to X."
AU3699,Answer,10,"Accodingly, NCERT has brought out textbooks for Physical Education and Well-being from Grade 3 to 8.","तदनुसार, एन.सी.ई.आर.टी. ने तृतीय से आठवीं कक्षा तक के शारीरिक शिक्षा और कल्याण के लिए पाठ्यपुस्तकें जारी की हैं।","Accordingly, NCERT has released textbooks for physical education and welfare for classes III to VIII."
AU3699,Answer,11,"These textbooks integrate traditional and indigenous games, in line with the NEP 2020 and NCF-SE 2023, emphasizing holistic development, physical fitness, and experiential learning.","ये पाठ्यपुस्तकें एन.ई.पी. 2020 और एन.सी.एफ.-एस.ई. 2023 के अनुरूप पारंपरिक और स्वदेशी खेलों को एकीकृत करती हैं, जो समग्र विकास, शारीरिक फिटनेस और अनुभवात्मक शिक्षण पर जोर देती हैं।","These textbooks integrate traditional and indigenous games in line with NEP 2020 and NCF-SE 2023, emphasizing holistic development, physical fitness, and experiential learning."
AU3699,Answer,12,"These promote physical literacy, fitness, and holistic development of students.","ये छात्रों के शारीरिक साक्षरता, स्वास्थ्य और समग्र विकास को बढ़ावा देते हैं।","They promote the physical literacy, health and overall development of students."
