doc_id,ministry,question_id,question_hi,gold_answer_en,context_type,qa_model,answer_hi
AU2338,ayush,Q1,AYURGYAN योजना के अंतर्गत कुल कितने Research & Innovation प्रोजेक्ट स्वीकृत किए गए?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the total number of Research & Innovation projects approved under the AYURGYAN scheme.

First, I need to go through the provided document carefully. The document mentions that under the AYURGYAN scheme, which is part of the central sector scheme by the Ministry of AYUSH, there are three components: Capacity Building and Continuing Medical Education (CME), Research and Innovation, and Ayurveda Biology Integrated Health Research (ABHAR). The ABHAR component was added later in 2023-24.

The key part here is the Research and Innovation component. The document states that initially, under the Research and Innovation component of the AYUSH scheme, a total of 34 and 11 research projects were approved/supported for conducting research activities. Wait, that wording is a bit confusing. Let me read it again: ""आरंभ से ही, आयुष"
AU2338,ayush,Q2,ABIHR घटक के अंतर्गत कितने प्रोजेक्ट अनुमोदित किए गए?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking how many projects were approved under the ABIHR component. First, I need to go through the provided document carefully to find the relevant information.

Looking at the document, there's a section that mentions the Ayush Ministry's central sector scheme called Ayushman, which has three components: Capacity Building and CME, Research and Innovation, and ABHR (added from 2023-24). The question is specifically about the ABIHR component.

Further down, the document states: ""ABIHR component के तहत समर्थित 11 अनुमोदित परियोजनाओं में से 06 परियोजनाएँ 05 एकल आयुर्वेद वनस्पति पर सुरक्षा और प्रभावकारिता डोजियर के विकास से संबंधित थीं।"" Translating this, it says that out of the 11 approved projects under the ABIHR component, 6 were related to developing"
AU2338,ayush,Q3,AYUSH रिसर्च के लिए कुल कितनी राशि Research & Innovation और ABIHR के तहत दी गई?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking for the total amount allocated for AYUSH research under Research & Innovation and ABIHR. The document provided is in Hindi, so I need to parse through it carefully.

First, I'll look for any mention of financial figures related to these components. The document talks about the AYUSH Ministry's schemes starting from 2021-22, including Ayushman, which has three components: Capacity Building, Research & Innovation, and ABIHR (added later). 

Under the Research & Innovation component, it mentions that 34 and 11 research projects were approved/supported. For ABIHR, 11 projects were approved, with 6 related to single Ayurvedic plants. However, the document doesn't explicitly state the total amount allocated. It lists the number of projects but not the funding figures. 

The research councils under AYUSH like CCRA, CCHR, etc"
AU2338,ayush,Q4,Research Councils द्वारा कुल कितने शोध अध्ययन किए गए?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking how many total research studies were conducted by the Research Councils. The document provided is in Hindi, so I need to parse through it carefully.

First, I'll look for mentions of research councils and the number of studies they've done. The document mentions several councils under the Ministry of AYUSH: CCRAAS, CCHR, CCUM, CCRS, and CCRYN. 

Looking at the end of the document, there's a part that says: ""कुल 709 शोध अध्ययन (अर्थात उपरोक्त अनुसंधान परिषदों द्वारा सी.सी.आर.ए.एस.-235, सी.सी.आर.एच.-230, सी.सी.आर.यू.एम.-120, सी.सी.आर.एस.-102, सी.सी.आर"
AU2338,ayush,Q5,"CCRAS, CCRUM, CCRH और CCRS द्वारा कुल कितने पेटेंट दाखिल या स्वीकृत किए गए?",,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking for the total number of patents filed or approved by CCRAS, CCRUM, CCRH, and CCRS. 

First, I need to look through the provided document to find any mention of patents. The document talks about various research activities and councils under the Ministry of AYUSH. It mentions the councils like CCRAS, CCRH, CCRUM, CCRS, and CCRYN. 

Looking at the section where they discuss the research councils, it says they conduct activities like clinical research, drug standardization, drug validation, drug certification, public health research, etc. However, the document specifically mentions the number of research studies conducted by each council. For example, CCRAS has 235 studies, CCRH 230, CCRUM 120, CCRS 102, and CCRYN 22. The total is 709 studies.

But the question is"
AU2402,ayush,Q1,हरियाणा में कुल कितने आयुष डॉक्टर पद स्वीकृत किए गए?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the total number of Ayush doctor posts approved in Haryana. The document provided mentions that the Ministry of Ayush, through the National Ayush Mission (NAM), has released funds for the development of Ayush infrastructure in Haryana, including Ayush hospitals in Hisar and Sonipat parliamentary constituencies. The document also refers to Ayush Health and Wellness Centers (Ayushman Arogya Mandir), Ayush hospitals, and associated human resources under NAM over the past three years.

However, the document doesn't explicitly state the exact number of Ayush doctor posts approved. It talks about the release of funds and the development of infrastructure but doesn't provide specific figures for the number of doctors. The user might be expecting a numerical answer, but the information isn't present in the given text. I need to make sure I'm not missing any numbers here. Let me check again. The document mentions"
AU2402,ayush,Q2,पहले चरण में कितने आयुर्वेदिक मेडिकल अधिकारियों की नियुक्ति की गई?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking about the number of Ayurvedic Medical Officers appointed in the first phase under the National AYUSH Mission (NAM) in Haryana's Hisar and Sonipat parliamentary constituencies.

First, I need to read the provided document carefully. The document mentions that the Ministry of AYUSH (Shri Prataprao Jadhav) released details of funds for developing AYUSH infrastructure, including AYUSH hospitals, under the National AYUSH Mission. It specifically refers to the Haryana government's notification and mentions the period of the last three years. However, the document doesn't provide any specific numbers regarding the appointment of Ayurvedic Medical Officers in the first phase. 

The key points here are that the document talks about funds released for infrastructure development, including AYUSH hospitals, but there's no mention of the exact number of medical officers appointed. The user's question is about the"
AU2402,ayush,Q3,सोनीपत में कितने AMO नियुक्त किए गए?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking how many AMOs (Ayush Medical Officers) were appointed in Sonipat under the National Ayush Mission (NAM) over the past three years. The document provided mentions that the Ministry of Ayush, through the National Ayush Mission, has released funds for the development of Ayush infrastructure, including Ayush hospitals in the Hisar and Sonipat parliamentary constituencies. However, the document doesn't explicitly state the number of AMOs appointed in Sonipat.

First, I need to check if the document provides any numerical data regarding AMO appointments. The text talks about the release of funds and the development of infrastructure like Ayush hospitals and health centers, but there's no mention of the exact number of AMOs appointed. The answer might be that the information isn't available in the provided document. Alternatively, maybe the user expects an answer based on general knowledge or another source, but since the instructions specify to use only"
AU2402,ayush,Q4,NAM के तहत राज्य सरकार को नई आयुष संस्थाएँ स्थापित करने के लिए क्या करना होता है?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking what the state government needs to do under NAM (National AYUSH Mission) to establish new AYUSH institutions. The document provided mentions that the Ministry of AYUSH, through the state government of Haryana, has released funds for the development of AYUSH infrastructure, including AYUSH hospitals in Hisar and Sonipat parliamentary constituencies. The funds were distributed under the National AYUSH Mission.

So, the key points here are that the state government is involved in notifying and implementing the establishment of these institutions. The document states that the funds are released and distributed by the state government under NAM. Therefore, the state government's role would involve applying for or utilizing the funds provided by NAM to set up new AYUSH institutions. They might need to submit proposals, get approvals, and then use the allocated funds to build and establish these hospitals or centers. The answer should reflect that the"
AU2402,ayush,Q5,2023-24 में हिसार के लिए कितनी राशि आवंटित की गई थी?,,sarvam_translated,sarvam,"<think>
Okay, let's tackle this question. The user is asking for the amount allocated for Hisar in 2023-24 under the National AYUSH Mission (NAM) for the development of AYUSH infrastructure, including AYUSH hospitals and related human resources.

First, I need to read the provided document carefully. The document mentions that the Ministry of AYUSH (Shri Prataprao Jadhav) has released details of funds allocated, distributed, and utilized for the development of AYUSH infrastructure, including AYUSH hospitals and related human resources in the parliamentary constituencies of Hisar and Sonipat in Haryana under the National AYUSH Mission (NAM). It also states that this information is for the last three years, including the current year, which would be 2023-24.

However, the document doesn't provide specific figures for the allocated amounts. It just mentions that the details are provided but doesn't"
